Scientific_name,Accepted_name_TNRS,SLA_mm2mg1,wood_density_gcm3,max_height_m,Nmass
Myrsine sandwicensis,Myrsine sandwicensis,16.381,0.441,7,10.5402
Nestegis sandwicensis,Nestegis sandwicensis,5.9207,0.66,13,NA
Nototrichium sandwicense,Nototrichium sandwicense,NA,0.48,4,NA
Osteomeles anthyllidifolia,Osteomeles anthyllidifolia,7.4737,0.8119,3.3288,12.1591
Pandanus tectorius,Pandanus tectorius,10.443,NA,12.7147,14
Perrottetia sandwicensis,Perrottetia sandwicensis,NA,0.3453,7.54,14.304
Persea americana,Persea americana,15.2558,0.538,20,18.9125
Pinus elliottii,Pinus elliottii,7.7242,0.585,32.8822,9.5143
Pinus patula,Pinus patula,12.17,0.4267,30,16
Pinus radiata,Pinus radiata,9.5869,0.47,37.3587,12.883
Pipturus albidus,Pipturus albidus,18.3816,0.2247,7.572,18.9373
Pisonia sandwicensis,Rockia sandwicensis,NA,0.3,NA,NA
Pithecellobium dulce,Pithecellobium dulce,15.0864,0.602669432,20,28.1446
Pittosporum glabrum,Pittosporum glabrum,NA,0.57,8,NA
Pittosporum hosmeri,Pittosporum hosmeri,NA,0.57,7.81,NA
Planchonella sandwicensis,Planchonella sandwicensis,7.624,NA,22.192,20.25
Polyscias hawaiensis,Polyscias hawaiensis,NA,NA,20,NA
Polyscias oahuensis,Polyscias oahuensis,NA,NA,10,NA
Polyscias sandwicensis,Polyscias sandwicensis,NA,NA,30,NA
Pritchardia beccariana,Pritchardia beccariana,NA,NA,NA,NA
Pritchardia munroi,Pritchardia munroi,NA,NA,7.62,NA
Prosopis pallida,Prosopis pallida,8.607,NA,24.5667,NA
Prunus persica,Prunus persica,18.40535964,0.655,8,40.53328947
Psidium cattleianum,Psidium cattleyanum,8.6894,0.9577,7.25,13.4988
Psidium cattleyanum,Psidium cattleyanum,5.478251342,1.12,6.675,12.338
Psidium guajava,Psidium guajava,9.9693,0.657,9.048,17.0717
Psychotria hawaiiensis,Psychotria hawaiiensis,10.0652,0.5129,14.16,12.8036
Psychotria hexandra,Psychotria hexandra,NA,0.52,NA,NA
Psychotria kaduana,Psychotria kaduana,NA,0.52,8,NA
Psychotria mariniana,Psychotria mariniana,8.8574,0.52,19.906,17.4
Psydrax odorata,Psydrax odoratus,6.4962,0.8335,11.0813,14.4479
Rauvolfia sandwicensis,Rauvolfia sandwicensis,NA,0.46,NA,NA
Rhodomyrtus tomentosa,Rhodomyrtus tomentosa,10.1454,NA,2,10.5479
Rubus macraei,Rubus macraei,NA,NA,NA,NA
Santalum freycinetianum,Santalum freycinetianum,8.2305,0.75,20,22.4333
Santalum paniculatum,Santalum paniculatum,5.4915,0.7058,9.575,13.4
Sapindus oahuensis,Sapindus oahuensis,NA,NA,17.9916,NA
Scaevola gaudichaudiana,Scaevola gaudichaudiana,11.8483,0.5,3,31.7
Schefflera actinophylla,Schefflera actinophylla,6.7295,0.4129,15,18.6667
Schinus molle,Schinus molle,8.64655,0.53545,12.15925,19.5301
Schinus terebinthifolia,Schinus terebinthifolia,NA,NA,7,15.2
Schizostachyum glaucifolium,Schizostachyum glaucifolium,NA,NA,NA,NA
Sophora chrysophylla,Sophora chrysophylla,11.0624,0.8917,14.144,26.6341
Spathodea campanulata,Spathodea campanulata,16.1496,0.341,24.692,24.6756
Styphelia tameiameiae,Leptecophylla tameiameiae,4.864,NA,4.786,8.2
Swietenia macrophylla,Swietenia macrophylla,25.4138,0.4171,40.8333,16.5247
Syzygium cumini,Syzygium cumini,9.2799,0.6468,18.3107,16.7423
Syzygium jambos,Syzygium jambos,8.7874,0.6961,14,12.7879
Syzygium malaccense,Syzygium malaccense,8.2399,0.5562,15,13.6739
Syzygium sandwicense,Syzygium sandwicense,6.7751,0.63,23.93,14.9
Toona ciliata,Toona hexandra,13.5125,0.4208,28,21.4592
Touchardia latifolia,Touchardia latifolia,NA,NA,3,NA
Trema orientalis,Trema orientale,12.8741,0.3454,11.15,28.976
Vaccinium dentatum,Vaccinium dentatum,NA,NA,3.3288,NA
Vaccinium reticulatum,Vaccinium reticulatum,12.8843,0.8589,2,9.5495
Wikstroemia monticola,Wikstroemia monticola,NA,0.52,3,NA
Wikstroemia oahuensis,Wikstroemia oahuensis,8.4674,0.52,7.575,17.1
Wikstroemia sandwicensis,Wikstroemia sandwicensis,NA,0.5667,5,15.96
Xylosma hawaiensis,Xylosma hawaiensis,NA,NA,NA,NA
